iter	Passed	Remaining
531	1810	1592
532	1813	1589
533	1816	1585
534	1818	1580
535	1822	1577
536	1825	1573
537	1828	1570
538	1831	1566
539	1834	1563
540	1837	1559
541	1842	1556
542	1845	1553
543	1848	1549
544	1851	1545
545	1854	1541
546	1856	1537
547	1859	1533
548	1862	1530
549	1865	1526
550	1870	1524
551	1873	1520
552	1876	1516
553	1879	1512
554	1882	1509
555	1885	1505
556	1887	1501
557	1890	1497
558	1893	1493
559	1896	1489
560	1899	1486
561	1902	1482
562	1904	1478
563	1907	1474
564	1911	1471
565	1914	1467
566	1916	1463
567	1919	1459
568	1922	1455
569	1926	1453
570	1929	1449
571	1932	1445
572	1934	1441
573	1937	1437
574	1941	1435
575	1944	1431
576	1947	1427
577	1950	1423
578	1952	1419
579	1955	1416
580	1960	1413
581	1962	1409
582	1965	1405
583	1968	1402
584	1972	1399
585	1975	1395
586	1979	1392
587	1982	1389
588	1985	1385
589	1990	1382
590	1994	1380
591	1996	1376
592	1999	1372
593	2002	1368
594	2005	1365
595	2008	1361
596	2011	1357
597	2014	1354
598	2017	1350
599	2021	1347
600	2024	1343
601	2027	1340
602	2029	1336
603	2032	1332
604	2035	1329
605	2040	1326
606	2042	1322
607	2044	1318
608	2047	1314
609	2051	1311
610	2053	1307
611	2056	1303
612	2059	1300
613	2061	1296
614	2065	1293
615	2068	1289
616	2070	1285
617	2073	1281
618	2075	1277
619	2078	1274
620	2081	1270
621	2084	1266
622	2088	1263
623	2091	1260
624	2094	1256
625	2098	1253
626	2101	1250
627	2104	1246
628	2108	1243
629	2111	1239
630	2115	1237
631	2119	1234
632	2122	1230
633	2125	1227
634	2128	1223
635	2132	1220
636	2135	1216
637	2137	1212
638	2140	1209
639	2143	1205
640	2146	1202
641	2149	1198
642	2151	1194
643	2154	1191
644	2158	1187
645	2163	1185
646	2167	1182
647	2169	1178
648	2173	1175
649	2176	1171
650	2179	1168
651	2182	1164
652	2184	1161
653	2187	1157
654	2190	1153
655	2192	1149
656	2195	1146
657	2199	1142
658	2204	1140
659	2208	1137
660	2210	1133
661	2213	1130
662	2216	1126
663	2218	1122
664	2221	1118
665	2225	1115
666	2227	1112
667	2231	1108
668	2236	1106
669	2240	1103
670	2243	1099
671	2245	1096
672	2248	1092
673	2251	1088
674	2253	1085
675	2258	1082
676	2260	1078
677	2263	1075
678	2267	1071
679	2270	1068
680	2274	1065
681	2278	1062
682	2282	1059
683	2286	1056
684	2288	1052
685	2291	1049
686	2294	1045
687	2296	1041
688	2299	1037
689	2301	1034
690	2304	1030
691	2308	1027
692	2312	1024
693	2315	1021
694	2319	1017
695	2324	1015
696	2327	1011
697	2331	1008
698	2335	1005
699	2339	1002
700	2341	998
701	2344	995
702	2346	991
703	2350	988
704	2354	985
705	2356	981
706	2359	977
707	2362	974
708	2364	970
709	2368	967
710	2371	964
711	2374	960
712	2377	957
713	2380	953
714	2382	949
715	2385	946
716	2389	943
717	2391	939
718	2394	935
719	2397	932
720	2401	929
721	2405	926
722	2408	922
723	2411	919
724	2413	915
725	2416	912
726	2419	908
727	2422	904
728	2425	901
729	2428	898
730	2431	894
731	2433	891
732	2436	887
733	2438	883
734	2441	880
735	2443	876
736	2446	872
737	2449	869
738	2452	866
739	2454	862
740	2457	858
741	2459	855
742	2464	852
743	2466	848
744	2469	845
745	2471	841
746	2474	838
747	2477	834
748	2480	831
749	2484	828
750	2486	824
751	2490	821
752	2492	817
753	2495	814
754	2498	810
755	2501	807
756	2504	803
757	2507	800
758	2509	796
759	2512	793
760	2516	790
761	2519	787
762	2523	783
763	2526	780
764	2530	777
765	2534	774
766	2536	770
767	2540	767
768	2543	764
769	2546	760
770	2548	757
771	2552	753
772	2554	750
773	2556	746
774	2560	743
775	2563	739
776	2565	736
777	2568	732
778	2570	729
779	2573	725
780	2576	722
781	2578	718
782	2581	715
783	2583	711
784	2586	708
785	2589	704
786	2592	701
787	2595	698
788	2599	695
789	2602	691
790	2604	688
791	2607	684
792	2610	681
793	2612	677
794	2616	674
795	2619	671
796	2623	668
797	2627	665
798	2629	661
799	2632	658
800	2636	654
801	2639	651
802	2642	648
803	2645	644
804	2647	641
805	2650	638
806	2654	634
807	2657	631
808	2661	628
809	2663	624
810	2666	621
811	2669	617
812	2675	615
813	2680	612
814	2683	609
815	2686	605
816	2689	602
817	2695	599
818	2698	596
819	2705	593
820	2710	590
821	2712	587
822	2715	584
823	2718	580
824	2721	577
825	2723	573
826	2726	570
827	2728	566
828	2731	563
829	2734	560
830	2737	556
831	2739	553
832	2741	549
833	2748	547
834	2754	544
835	2756	540
836	2759	537
837	2762	533
838	2766	530
839	2772	528
840	2775	524
841	2780	521
842	2783	518
843	2786	514
844	2788	511
845	2791	508
846	2793	504
847	2797	501
848	2805	498
849	2807	495
850	2814	492
851	2817	489
852	2822	486
853	2825	483
854	2829	479
855	2832	476
856	2835	473
857	2839	469
858	2842	466
859	2846	463
860	2850	460
861	2852	456
862	2856	453
863	2860	450
864	2863	446
865	2867	443
866	2871	440
867	2874	437
868	2878	433
869	2881	430
870	2885	427
871	2890	424
872	2893	420
873	2896	417
874	2898	414
875	2901	410
876	2905	407
877	2909	404
878	2913	401
879	2916	397
880	2919	394
881	2921	390
882	2926	387
883	2929	384
884	2932	381
885	2934	377
886	2937	374
887	2941	370
888	2943	367
889	2946	364
890	2949	360
891	2953	357
892	2956	354
893	2958	350
894	2963	347
895	2965	344
896	2970	341
897	2974	337
898	2977	334
899	2979	331
900	2982	327
901	2986	324
902	2989	321
903	2992	317
904	2995	314
905	2998	311
906	3001	307
907	3004	304
908	3008	301
909	3011	297
910	3014	294
911	3018	291
912	3021	287
913	3024	284
914	3027	281
915	3031	277
916	3034	274
917	3037	271
918	3039	267
919	3042	264
920	3044	261
921	3047	257
922	3050	254
923	3053	251
924	3056	247
925	3059	244
926	3065	241
927	3068	238
928	3072	234
929	3075	231
930	3077	228
931	3081	224
932	3084	221
933	3087	218
934	3089	214
935	3092	211
936	3095	208
937	3098	204
938	3101	201
939	3106	198
940	3109	194
941	3113	191
942	3116	188
943	3121	185
944	3123	181
945	3126	178
946	3128	175
947	3131	171
948	3134	168
949	3137	165
950	3140	161
951	3142	158
952	3145	155
953	3148	151
954	3152	148
955	3155	145
956	3158	141
957	3162	138
958	3165	135
959	3168	132
960	3171	128
961	3173	125
962	3176	122
963	3179	118
964	3182	115
965	3185	112
966	3187	108
967	3190	105
968	3193	102
969	3195	98
970	3198	95
971	3201	92
972	3204	88
973	3207	85
974	3210	82
975	3213	79
976	3215	75
977	3219	72
978	3223	69
979	3226	65
980	3230	62
981	3232	59
982	3236	55
983	3239	52
984	3244	49
985	3246	46
986	3249	42
987	3254	39
988	3257	36
989	3262	32
990	3266	29
991	3270	26
992	3273	23
993	3276	19
994	3280	16
995	3282	13
996	3285	9
997	3287	6
998	3290	3
999	3293	0
