iter	RMSE
350	1.134295251
351	1.134086038
352	1.133734039
353	1.133463626
354	1.133319628
355	1.133062157
356	1.132847545
357	1.13266691
358	1.132406061
359	1.132201675
360	1.132013938
361	1.131845267
362	1.131605759
363	1.131489067
364	1.131233998
365	1.13099022
366	1.130784789
367	1.130531523
368	1.130298294
369	1.130125825
370	1.12990896
371	1.129706704
372	1.129515976
373	1.129307061
374	1.128911721
375	1.128632482
376	1.12843232
377	1.128207125
378	1.127934002
379	1.127719185
380	1.127603067
381	1.127540742
382	1.127355172
383	1.127004597
384	1.126844126
385	1.126709718
386	1.126576031
387	1.126434952
388	1.126227558
389	1.126076514
390	1.125831578
391	1.125562766
392	1.125323126
393	1.125187075
394	1.124842094
395	1.124627428
396	1.124390993
397	1.124148846
398	1.123875969
399	1.123656266
400	1.123387709
401	1.12315281
402	1.122907311
403	1.122641316
404	1.122554159
405	1.122273041
406	1.121985344
407	1.121741234
408	1.121623158
409	1.121427127
410	1.121225017
411	1.121033369
412	1.120855425
413	1.120797172
414	1.120643559
415	1.120389202
416	1.120057253
417	1.119925066
418	1.119729257
419	1.119562333
420	1.119236706
421	1.11893505
422	1.118749599
423	1.118571342
424	1.118405898
425	1.11822751
426	1.118023551
427	1.117838384
428	1.117660109
429	1.11735876
430	1.117135499
431	1.116981531
432	1.116864045
433	1.116612691
434	1.116511129
435	1.116375344
436	1.116073098
437	1.115590672
438	1.115378147
439	1.115101552
440	1.114742241
441	1.114473684
442	1.114229753
443	1.114064419
444	1.113796925
445	1.113554796
446	1.113196907
447	1.112944004
448	1.112786457
449	1.112490519
450	1.112393239
451	1.112170412
452	1.111941805
453	1.11172426
454	1.111548902
455	1.111424409
456	1.11140523
457	1.111236364
458	1.110907464
459	1.110800804
460	1.110565395
461	1.110435671
462	1.110271598
463	1.110143751
464	1.109910027
465	1.10977724
466	1.109581245
467	1.109531698
468	1.109348361
469	1.109198242
470	1.108987468
471	1.108884481
472	1.108772165
473	1.108720529
474	1.108633226
475	1.108502143
476	1.108221947
477	1.108073022
478	1.107861435
479	1.107738812
480	1.107475782
481	1.107133187
482	1.106925197
483	1.106738902
484	1.106611445
485	1.106458632
486	1.10618436
487	1.105873054
488	1.105610766
489	1.10534075
490	1.104969591
491	1.104691023
492	1.104500945
493	1.104304848
494	1.104006274
495	1.103810726
496	1.103558896
497	1.103387304
498	1.103168151
499	1.102957928
500	1.102718549
501	1.102573161
502	1.102442245
503	1.102319963
504	1.102212153
505	1.102053265
506	1.10170349
507	1.101521449
508	1.101436275
509	1.10138958
510	1.101174694
511	1.101107146
512	1.100915127
513	1.100655059
514	1.100446525
515	1.100291724
516	1.100083136
517	1.099971763
518	1.099732725
519	1.099328268
520	1.099063369
521	1.098753775
522	1.098624741
523	1.098478112
524	1.098432438
525	1.097996017
526	1.097748019
527	1.097505147
528	1.097302506
529	1.097052075
530	1.096780804
531	1.096467305
532	1.096213576
533	1.095993119
534	1.09573537
535	1.095666082
536	1.095398905
537	1.095266834
538	1.094969739
539	1.094773526
540	1.094598208
541	1.094440666
542	1.094235268
543	1.094050966
544	1.094001989
545	1.09388718
546	1.093677771
547	1.09357045
548	1.093501427
549	1.093276932
550	1.093082806
551	1.092839923
552	1.092651054
553	1.092401248
554	1.092264403
555	1.092125261
556	1.091963945
557	1.091872616
558	1.091690657
559	1.091533518
560	1.091313485
561	1.091172001
562	1.09100445
563	1.090828565
564	1.090616462
565	1.09054914
566	1.090332299
567	1.090241175
568	1.090010866
569	1.089869431
570	1.089705503
571	1.089573807
572	1.089320643
573	1.08904391
574	1.088831679
575	1.08861046
576	1.088334501
577	1.088092336
578	1.087835218
579	1.087444936
580	1.087266996
581	1.087121358
582	1.086952255
583	1.086857845
584	1.086644533
585	1.086379172
586	1.086256196
587	1.086032612
588	1.085827164
589	1.085659422
590	1.08553375
591	1.085233399
592	1.084942653
593	1.08472759
594	1.084515356
595	1.084380564
596	1.084133481
597	1.083921396
598	1.083764791
599	1.083584655
600	1.08333406
601	1.083181053
602	1.082935607
603	1.0826188
604	1.082387529
605	1.082306773
606	1.082151926
607	1.082114627
608	1.082011426
609	1.081801208
610	1.081589681
611	1.08139063
612	1.081073848
613	1.080760962
614	1.080530318
615	1.080368449
616	1.08024181
617	1.080040671
618	1.079918657
619	1.079618055
620	1.079453439
621	1.079274502
622	1.07893192
623	1.078742746
624	1.07849333
625	1.078285214
626	1.078019595
627	1.077892207
628	1.07772289
629	1.077564293
630	1.077411701
631	1.077159667
632	1.077052486
633	1.076924843
634	1.07659897
635	1.076410088
636	1.076210059
637	1.076053246
638	1.07588266
639	1.075633588
640	1.075411377
641	1.075248594
642	1.07500692
643	1.074821938
644	1.074734694
645	1.074583415
646	1.074427497
647	1.074239559
648	1.074191626
649	1.074131696
650	1.073986226
651	1.073857829
652	1.073607658
653	1.073535694
654	1.073361497
655	1.073143907
656	1.072997873
657	1.072889095
658	1.072717147
659	1.072544228
660	1.072427308
661	1.072287107
662	1.072220428
663	1.072009809
664	1.071801077
665	1.071655346
666	1.07133073
667	1.071080584
668	1.070930151
669	1.070741788
670	1.070570715
671	1.070441822
672	1.070286704
673	1.070107816
674	1.069992935
675	1.069812076
676	1.069647706
677	1.069306152
678	1.069121388
679	1.068885138
680	1.068779508
681	1.068507468
682	1.068327361
683	1.068162804
684	1.067996877
685	1.067858512
686	1.06763464
687	1.06749046
688	1.0672675
689	1.067074401
690	1.06679401
691	1.066527848
692	1.066205666
693	1.065973729
694	1.06578141
695	1.065568399
696	1.065326296
697	1.065177387
698	1.065087472
699	1.064937701
700	1.064690356
701	1.064533673
702	1.064430623
703	1.064192453
704	1.063944106
705	1.063772
706	1.063589825
707	1.063356483
708	1.063252557
709	1.06294425
710	1.062783706
711	1.062471135
712	1.062264677
713	1.062099434
714	1.06204103
715	1.061872429
716	1.061751681
717	1.061441395
718	1.061270224
719	1.061096545
720	1.060956836
721	1.060915781
722	1.060744906
723	1.060512206
724	1.060302177
725	1.060249348
726	1.060090414
727	1.059951719
728	1.059782741
729	1.059611248
730	1.059486944
731	1.059350913
732	1.059197714
733	1.059049479
734	1.058877407
735	1.058670935
736	1.058502987
737	1.058449755
738	1.058335917
739	1.058158646
740	1.057913737
741	1.057605271
742	1.057527863
743	1.057327153
744	1.057065274
745	1.05689578
746	1.056673665
747	1.056541557
748	1.05631942
749	1.056107924
750	1.055858031
751	1.055671047
752	1.055283081
753	1.055237012
754	1.055109759
755	1.055041937
756	1.054858082
757	1.054727844
758	1.054498683
759	1.05440194
760	1.05424854
761	1.054088111
762	1.053831236
763	1.053591673
764	1.053343128
765	1.053100492
766	1.052935413
767	1.052747949
768	1.052559874
769	1.052389664
770	1.052323556
771	1.052199791
772	1.052052582
773	1.05196713
774	1.051828445
775	1.051724704
776	1.051475365
777	1.051403871
778	1.051252757
779	1.051126231
780	1.051035604
781	1.050962758
782	1.050813311
783	1.050686652
784	1.050586111
785	1.05045935
786	1.050286542
787	1.04999506
788	1.049848287
789	1.049651296
790	1.049461447
791	1.049273218
792	1.049097963
793	1.048940814
794	1.048809873
795	1.048643634
796	1.04850281
797	1.048356696
798	1.048243556
799	1.048089564
800	1.047829686
801	1.047720661
802	1.047536117
803	1.047328802
804	1.04727931
805	1.047134341
806	1.046980592
807	1.04681349
808	1.046686827
809	1.046538237
810	1.046444939
811	1.046360108
812	1.046094444
813	1.045892278
814	1.04578728
815	1.045619744
816	1.045448763
817	1.045310187
818	1.045154748
819	1.044988883
820	1.044857928
821	1.044661718
822	1.04446051
823	1.044316784
824	1.0442053
825	1.044093449
826	1.043866651
827	1.043714901
828	1.043563292
829	1.043276178
830	1.04312488
831	1.042906868
832	1.042755837
833	1.042630966
834	1.042535356
835	1.042433315
836	1.042189996
837	1.042038599
838	1.041859746
839	1.041755035
840	1.041688636
841	1.041494762
842	1.041286815
843	1.04109153
844	1.040984064
845	1.040615545
846	1.040469569
847	1.040285983
848	1.040172521
849	1.04003458
850	1.039860894
851	1.039656045
852	1.039502198
853	1.039389668
854	1.039228502
855	1.039115279
856	1.038955609
857	1.038855894
858	1.038709309
859	1.038624718
860	1.038474691
861	1.03827335
862	1.038174058
863	1.037996907
864	1.037709269
865	1.037645027
866	1.037511047
867	1.037422643
868	1.037229336
869	1.037044801
870	1.036984732
871	1.036829409
872	1.036629898
873	1.036326402
874	1.036244704
875	1.036054379
876	1.035877378
877	1.035735314
878	1.035588922
879	1.035547149
880	1.035369402
881	1.035205208
882	1.035013388
883	1.034699105
884	1.034583716
885	1.034414779
886	1.034322676
887	1.03417378
888	1.033916855
889	1.033823846
890	1.033589881
891	1.033503705
892	1.033372186
893	1.033201434
894	1.032978933
895	1.032800806
896	1.032686953
897	1.032491316
898	1.032277252
899	1.032117106
900	1.031937658
901	1.03177567
902	1.031678473
903	1.031508594
904	1.031318618
905	1.031199092
906	1.031063957
907	1.030776472
908	1.030528427
909	1.030397453
910	1.030337798
911	1.03016955
912	1.02992076
913	1.029751431
914	1.02955513
915	1.029325486
916	1.029088439
917	1.028840166
918	1.028660058
919	1.02833538
920	1.028210661
921	1.027944066
922	1.027828465
923	1.027490336
924	1.02741923
925	1.027292597
926	1.0270919
927	1.027029402
928	1.026904596
929	1.026784453
930	1.02665073
931	1.02648042
932	1.026232389
933	1.026148104
934	1.025989209
935	1.025827625
936	1.025602168
937	1.025469759
938	1.025375895
939	1.02527989
940	1.025152767
941	1.024947977
942	1.024801114
943	1.024660498
944	1.024469103
945	1.024379226
946	1.024310697
947	1.024192555
948	1.024003886
949	1.023893382
950	1.023678872
951	1.023571272
952	1.023457211
953	1.023432066
954	1.023303695
955	1.023237513
956	1.023065804
957	1.022890126
958	1.022712715
959	1.022496985
960	1.022355482
961	1.022224072
962	1.022114686
963	1.021875378
964	1.021781101
965	1.0215522
966	1.021383394
967	1.021270872
968	1.021076836
969	1.020830427
970	1.020695184
971	1.020623821
972	1.020489579
973	1.020325738
974	1.020166235
975	1.020064296
976	1.019875014
977	1.019767729
978	1.019697943
979	1.019533606
980	1.019380206
981	1.019316335
982	1.019098792
983	1.018948475
984	1.01877935
985	1.018711053
986	1.01856183
987	1.018475004
988	1.018403478
989	1.018239701
990	1.018089155
991	1.017897734
992	1.017707892
993	1.01756384
994	1.017464148
995	1.017344051
996	1.017249668
997	1.017150625
998	1.016847244
999	1.016743874
