,adj_avg_xg1_home,adj_avg_xg2_home,xwin1_home,xdraw_home,xwin2_home,shots1_home,shots2_home,shotsot1_home,shotsot2_home,corners1_home,corners2_home,xpts1_home,xpts2_home,xgshot1_home,convrate1_home,adj_avg_xg1_away,adj_avg_xg2_away,xwin1_away,xdraw_away,xwin2_away,shots1_away,shots2_away,shotsot1_away,shotsot2_away,corners1_away,corners2_away,xpts1_away,xpts2_away,A,H,score1_similar,score2_similar,spi_diff,avg_xg_diff,avg_xg_diff_home,avg_xg_diff_away,score1,score2,upper_home_outlier,lower_home_outlier,upper_away_outlier,lower_away_outlier
0,1.1411545951907116,1.5040117691555652,0.27823167868389953,0.27771564650621544,0.4438852932762577,10.901152144765751,13.295703448741346,3.8139714237813234,4.487543174324293,4.289125622463398,4.549470813009801,1.112410682557914,1.6093715263349884,0.09072153997771773,0.11664059462623574,1.7816711247330017,0.9502157540033708,0.5357196287588359,0.22632790025331795,0.2377223751169801,18.779943460009687,9.375442556698797,6.549948442578874,2.927316266217217,7.201573229691398,3.7802406255245167,1.8334867865298257,0.9394950256042583,0.47,0.31,1.18,1.64,-20.230000000000004,2.1366887304722786,-0.32435439590902915,0.6899614838177119,1.0,4.0,0,0,1,0
4,1.138032185224999,1.3820171498859373,0.3045384637673162,0.2876582908438853,0.40778830091247215,10.035667356528199,13.30313778035818,3.0360014989150854,4.5330821961504615,3.750372548707012,5.383983372129056,1.2012736821458336,1.5110231935813014,0.10918694479557696,0.13006399295002435,0.8393705750937704,2.089416156890069,0.1818343636037481,0.19691155302335825,0.6206103565382289,10.249824105955296,18.71065124646405,3.5456241126863213,6.070943438309151,4.277096452587127,6.902249844611504,0.7424146438346026,2.0587426226380448,0.11,0.65,1.7,0.78,19.110000000000007,3.084327411544462,-0.4331382658873735,-1.2283683064028317,3.0,1.0,0,0,1,0
5,2.1383588201543358,0.9527805868042,0.6330196796056948,0.2039113023841013,0.1629939785229975,16.312751794074703,8.227145317867341,5.554393960318159,2.9755563319433933,7.377215641603643,3.15433880065355,2.102970341201185,0.6928932379530939,0.1274588466256932,0.12237879218775545,1.1162163903484779,1.7011846497795038,0.2383732393069215,0.2261193288050225,0.5350170063739191,9.496410170173665,18.78776017926727,3.1908133140280963,6.049684060334482,4.0400344429194295,7.4590771106397264,0.9412390467257872,1.83117034792678,0.06,0.77,2.54,0.78,28.239999999999995,4.009730698133307,1.3873934845855156,-0.6901499444106809,2.0,1.0,0,0,1,0
6,1.004023744879278,1.866384861172618,0.2439881982298538,0.22031268025329964,0.5356675804468501,9.860404655384448,18.666867956758498,2.9287040624893645,6.076266152400121,3.653524000614485,6.889004360900586,0.9522772749428612,1.8273154215938499,0.1192164629625482,0.1020276254576603,2.2105516481467564,0.9098148806229492,0.6141367327634927,0.2148072611899118,0.1703695918509844,17.159726200399227,7.5910522007472805,5.939420531099322,3.0176609415051403,6.3848640049652525,3.3917941053416363,2.0572174594803894,0.725916036742865,0.6,0.26,1.05,1.99,-35.629999999999995,1.8547544100725428,-0.83237826973715,1.2824723334653676,2.0,2.0,1,0,0,0
11,1.856957907649436,0.954927430175144,0.5463821025647848,0.22167659641251625,0.23171263645111245,18.794123841327238,9.157929991193646,6.514509920183196,2.8675602677928698,6.930825036825764,3.5366429867340603,1.860822904106871,0.9168145057658535,0.09833409101755466,0.1086917953039879,1.9968009724257128,0.8422989074962431,0.5512086004094335,0.2489967103930409,0.19977220777894986,15.290762519307961,8.454134479952979,5.5642152830216265,2.5876452958737373,5.013566863886966,4.505176630419389,1.9026225116213416,0.8483133337298905,0.34,0.45,1.44,1.36,-5.8999999999999915,2.685361382205695,0.7302387893593321,0.9621862544399713,2.0,0.0,1,0,0,0
12,0.9327957018084376,1.221143789092503,0.2922086514649029,0.3583901110396442,0.3493172008823109,8.204815475110104,10.896983605473268,3.0887997227829986,4.781127469498653,3.347075341203998,5.591611815787804,1.2350160654343527,1.4063417136865766,0.09796888679520437,0.1480882696577711,1.173497537054309,1.507605075123593,0.3841882245596859,0.25077593892558925,0.3633668447848417,12.265913085548425,13.31405329381464,3.854739057210845,4.33349521611771,4.679749625896925,6.491724645208277,1.403340612604647,1.3408764732801142,0.15,0.51,1.68,0.96,1.0400000000000063,2.1522413671920955,-0.39150811838106625,-0.3720748926799534,1.0,1.0,1,0,0,0
13,2.4422649235913703,0.9724057462896314,0.6800628835272456,0.16469870514866095,0.1541104770366111,18.69477292542426,9.217278471498066,7.1410459949636875,2.9473203087170963,6.487447406077447,3.9912995500552815,2.204887355730398,0.6270301362584942,0.13818883080618935,0.1475466279003114,0.8606803343791142,1.7863934756564863,0.21276150592169826,0.2343252528980153,0.5528775035243552,10.177272842142472,14.295004054462655,3.0922607380189198,6.290305284250173,3.942392368505503,6.5023060756954205,0.8726097706631101,1.892957763471081,0.04,0.78,2.61,0.73,40.879999999999995,4.030769014918036,1.3641744453238605,-0.8651814664711526,5.0,0.0,1,0,0,0
22,1.4121366095335066,0.9280785311947668,0.4826915165269705,0.266391184297204,0.25087082064300537,11.145934448228626,11.251065407151835,4.662949164731106,3.798890810106804,4.667322776701559,5.3316214211352815,1.7144657338781155,1.01900364622622,0.13318563226424845,0.1441882905146611,2.5749587560004703,0.8562983166192395,0.7160784381301454,0.1548378738532791,0.12705046710181614,16.249173852572312,8.783671590164605,5.87599610458401,3.3049830119418817,6.567654728216037,2.9458747796851337,2.3030731882437148,0.5359892751587275,0.4,0.39,1.39,1.59,-15.319999999999993,2.1117179393910854,0.30401000552086654,1.8462985378996173,1.0,1.0,0,0,1,0
33,2.531017747719755,0.8530891545030453,0.7084089403717968,0.16307882287560102,0.12663085249487332,16.529332443503364,8.575752193300495,5.959950768213703,3.282203067597582,6.37587017132641,2.8752250254555136,2.288305643990991,0.5429713803602211,0.16012534096398398,0.15969190007181774,1.2751258773466336,1.3306671035462572,0.3301131330805926,0.2477605403520482,0.42205655256328267,10.808656515480118,12.269089222026944,4.923612473716014,4.337287343470675,5.0907470828124985,4.404949236307086,1.238099939593826,1.5139301980418964,0.06,0.73,2.45,0.87,27.75999999999999,3.8968690512613344,1.8398526841524507,-0.12083581755869988,5.0,0.0,1,0,0,0
41,1.0339647155262357,1.8907124730366545,0.24827263889552,0.21857237588692915,0.5331218048191007,9.868888731640778,18.80866688440516,3.054589583469067,6.61861689241047,3.55302907543254,6.7741978314238285,0.9633902925734892,1.8179377903442309,0.12388307548641615,0.1079820152614194,1.2811236410923703,1.5426837064312864,0.3648173239805821,0.2529220879886765,0.3822250303470647,11.528965713116195,14.295766305894873,3.7708769939309903,4.792898188528875,5.04035188709881,7.257072763638058,1.3473740599304227,1.399597179029871,0.34,0.31,1.12,1.3,-13.090000000000003,2.576182329213369,-0.8519859964062433,-0.24553635847826882,1.0,3.0,1,0,0,0
